-0.581457	-0.294806	-0.536543	-0.205755
-0.536543	-0.205755	-0.544292	-0.130741
-0.544292	-0.130741	-0.54293	-0.036595
-0.54293	-0.036595	-0.591873	0.015941
-0.591873	0.015941	-0.535916	0.138997
-0.535916	0.138997	-0.459109	0.115042
-0.54293	-0.036595	-0.459109	0.115042

0.010128	0.007897	-0.007201	-0.059107
-0.007201	-0.059107	-0.043974	-0.131365
-0.043974	-0.131365	-0.11818	-0.175304
-0.11818	-0.175304	-0.200728	-0.185075
-0.200728	-0.185075	-0.199642	-0.239467
-0.199642	-0.239467	-0.106414	-0.221875
-0.106414	-0.221875	-0.11818	-0.175304
